"";"CD_PROGRAMA_IES";"ID_PROJETO";"QACP";"QPP";"DFCP"
"47";"10001018005P0";326782;1;1;1
"48";"10001018005P0";326790;1;1;1
"49";"10001018005P0";332076;1;1;1
"50";"10001018005P0";345880;1;1;1
"51";"10001018005P0";374517;1;1;1
"52";"10001018005P0";378087;1;1;1
"53";"10001018006P7";336849;3;2;1,5
"54";"10001018006P7";337418;1;1;1
"55";"10001018006P7";382601;1;1;1
"56";"10001018006P7";382616;4;2;2
"57";"10001018006P7";393578;1;1;1
"58";"10001018006P7";393596;1;2;0,5
"59";"10001018006P7";393645;3;1;3
"60";"10001018006P7";393647;1;1;1
"61";"10001018006P7";393671;1;1;1
"62";"10001018009P6";269711;1;1;1
"63";"10001018009P6";270571;1;1;1
"64";"10001018009P6";325621;1;1;1
"65";"10001018009P6";332340;1;1;1
"66";"10001018009P6";355850;2;3;0,666666666666667
"67";"10001018009P6";355851;2;3;0,666666666666667
"68";"10001018009P6";357172;1;1;1
"69";"10001018009P6";357174;1;1;1
"70";"10001018009P6";358947;1;1;1
"71";"10001018009P6";359183;1;1;1
"72";"10001018009P6";371663;1;1;1
"73";"10001018009P6";411815;2;2;1
"74";"10001018009P6";419752;1;1;1
"75";"10001018010P4";334277;1;1;1
"76";"10001018010P4";338493;2;2;1
"77";"10001018010P4";379555;2;1;2
"78";"10001018010P4";421576;3;1;3
"79";"10001018010P4";421880;2;1;2
"80";"10001018010P4";424728;2;1;2
"81";"10001018011P0";333277;4;2;2
"82";"10001018011P0";376973;3;1;3
"83";"10001018011P0";377004;2;1;2
"84";"10001018011P0";377009;2;1;2
"85";"10001018011P0";377093;2;1;2
"86";"10001018011P0";377166;2;1;2
"87";"10001018012P7";343824;1;1;1
"88";"10001018012P7";379988;2;1;2
"89";"10001018016P2";282119;1;1;1
"90";"10001018016P2";283049;1;1;1
"91";"10001018016P2";283448;1;1;1
"92";"10001018016P2";295281;2;1;2
"93";"10001018016P2";320180;2;1;2
"94";"10001018016P2";325063;2;1;2
"95";"10001018016P2";356669;1;1;1
"96";"10001018016P2";358062;1;1;1
"97";"10001018016P2";358108;1;1;1
"98";"10001018016P2";409582;2;1;2
"99";"10001018016P2";409608;2;2;1
"100";"10001018016P2";409624;2;2;1
"101";"10001018016P2";410938;1;1;1
"102";"10001018016P2";410951;1;1;1
"103";"10001018016P2";410961;1;1;1
"104";"10001018016P2";411176;1;1;1
"105";"10001018016P2";411239;1;1;1
"106";"10001018016P2";411334;2;1;2
"107";"10001018017P9";289459;2;2;1
"108";"10001018017P9";289473;2;2;1
"109";"10001018017P9";308048;3;3;1
"110";"10001018017P9";308049;3;3;1
"111";"10001018017P9";327552;1;2;0,5
"112";"10001018017P9";327618;3;3;1
"113";"10001018017P9";328861;4;4;1
"114";"10001018017P9";329104;1;1;1
"115";"10001018017P9";329117;1;1;1
"116";"10001018017P9";329123;1;1;1
"117";"10001018017P9";329132;1;1;1
"118";"10001018017P9";329156;1;1;1
"119";"10001018017P9";329527;1;1;1
"120";"10001018017P9";329531;1;1;1
"121";"10001018017P9";330707;2;2;1
"122";"10001018017P9";330751;1;1;1
"123";"10001018017P9";332210;2;2;1
"124";"10001018017P9";377773;1;1;1
"125";"10001018017P9";377816;2;2;1
"126";"10001018017P9";377962;1;1;1
"127";"10001018017P9";379139;1;1;1
"128";"10001018017P9";380514;1;1;1
"129";"10001018017P9";381956;1;1;1
"130";"10001018017P9";421647;2;2;1
"131";"10001018017P9";421752;1;1;1
"132";"10001018017P9";421753;1;1;1
"133";"10001018017P9";421780;1;1;1
"134";"10001018017P9";421795;1;1;1
"135";"10001018017P9";421864;2;2;1
"136";"10001018017P9";421899;1;1;1
"137";"10001018017P9";421913;1;1;1
"138";"11001011003P0";292397;1;1;1
"139";"11001011003P0";292399;1;1;1
"140";"11001011003P0";292400;1;1;1
"141";"11001011003P0";292401;4;4;1
"142";"11001011003P0";292419;2;2;1
"143";"11001011003P0";292421;3;3;1
"144";"11001011004P7";326894;2;4;0,5
"145";"11001011005P3";336452;1;1;1
"146";"11001011005P3";337483;1;1;1
"147";"11001011005P3";407887;2;2;1
"148";"11001011005P3";424365;1;1;1
"149";"11001011005P3";424504;1;1;1
"150";"11001011005P3";424514;1;1;1
"151";"11001011006P0";383930;3;3;1
"152";"11001011006P0";383954;5;5;1
"153";"11001011006P0";424404;2;2;1
"154";"11001011006P0";424446;1;1;1
"155";"11001011006P0";424449;4;4;1
"156";"11001011006P0";424458;4;4;1
"157";"11001011006P0";424466;2;2;1
"158";"11001011006P0";424470;2;2;1
"159";"11001011006P0";424473;2;2;1
"160";"11001011007P6";249410;3;2;1,5
"161";"11001011007P6";249414;1;2;0,5
"162";"11001011007P6";249416;5;4;1,25
"163";"11001011008P2";331755;1;1;1
"164";"11001011008P2";331774;2;4;0,5
"165";"11001011008P2";331776;4;3;1,33333333333333
"166";"11001011008P2";332347;4;3;1,33333333333333
"167";"11001011008P2";332349;4;3;1,33333333333333
"168";"11001011008P2";332350;1;1;1
"169";"11001011008P2";332351;2;3;0,666666666666667
"170";"11001011009P9";280903;1;1;1
"171";"11001011009P9";280906;1;1;1
"172";"11001011009P9";280915;1;1;1
"173";"11001011009P9";280922;1;1;1
"174";"11001011009P9";280924;1;2;0,5
"175";"11001011009P9";280931;1;1;1
"176";"11001011009P9";280937;1;1;1
"177";"11001011009P9";280939;1;1;1
"178";"11001011009P9";280941;1;1;1
"179";"11001011009P9";280946;1;1;1
"180";"11001011009P9";280952;1;1;1
"181";"11001011009P9";280955;1;1;1
"182";"11001011009P9";280971;1;2;0,5
"183";"11001011009P9";280987;1;1;1
"184";"11001011009P9";281387;1;1;1
"185";"11001011009P9";281456;1;2;0,5
"186";"11001011009P9";281475;1;2;0,5
"187";"11001011070P0";384915;1;1;1
"188";"11001011070P0";422637;1;1;1
"189";"11001011070P0";422776;1;1;1
"190";"11001011070P0";423480;1;1;1
"191";"11001011070P0";423481;1;1;1
"192";"11001011070P0";423484;1;1;1
"193";"11001011070P0";423485;1;1;1
"194";"11001011070P0";423494;1;1;1
"195";"11001011070P0";423659;2;1;2
"196";"11001011070P0";423686;2;1;2
"197";"11001011070P0";423713;2;1;2
"198";"11001011070P0";423735;2;1;2
"199";"11001011070P0";423752;2;1;2
"200";"11001011070P0";423758;1;1;1
"201";"11001011070P0";423785;2;2;1
"202";"11001011070P0";423820;2;2;1
"203";"11001011070P0";423855;1;1;1
"204";"12001015001P0";247921;2;2;1
"205";"12001015001P0";327949;2;3;0,666666666666667
"206";"12001015001P0";327961;4;2;2
"207";"12001015001P0";350390;1;1;1
"208";"12001015001P0";362704;1;1;1
"209";"12001015001P0";375604;1;1;1
"210";"12001015001P0";375606;1;1;1
"211";"12001015001P0";375619;1;1;1
"212";"12001015001P0";379439;1;1;1
"213";"12001015001P0";381452;2;2;1
"214";"12001015001P0";383968;1;1;1
"215";"12001015001P0";383986;1;1;1
"216";"12001015001P0";384079;3;3;1
"217";"12001015001P0";384080;1;1;1
"218";"12001015001P0";384095;2;2;1
"219";"12001015001P0";384096;2;2;1
"220";"12001015001P0";384097;1;1;1
"221";"12001015001P0";385666;2;3;0,666666666666667
"222";"12001015001P0";398505;2;3;0,666666666666667
"223";"12001015001P0";398522;1;1;1
"224";"12001015001P0";398666;1;1;1
"225";"12001015001P0";398681;1;1;1
"226";"12001015001P0";398684;1;1;1
"227";"12001015001P0";398710;1;1;1
"228";"12001015001P0";398763;1;1;1
"229";"12001015001P0";398773;2;2;1
"230";"12001015001P0";398775;1;1;1
"231";"12001015001P0";399260;1;1;1
"232";"12001015001P0";399263;1;1;1
"233";"12001015001P0";399273;2;2;1
"234";"12001015001P0";399279;1;1;1
"235";"12001015001P0";423380;1;1;1
"236";"12001015001P0";77840;1;1;1
"237";"12001015002P7";271182;1;3;0,333333333333333
"238";"12001015002P7";271198;1;1;1
"239";"12001015002P7";271203;1;2;0,5
"240";"12001015002P7";271215;1;2;0,5
"241";"12001015002P7";271222;1;1;1
"242";"12001015002P7";271224;1;1;1
"243";"12001015002P7";330068;1;2;0,5
"244";"12001015002P7";330120;1;1;1
"245";"12001015002P7";330141;2;1;2
"246";"12001015002P7";330143;1;2;0,5
"247";"12001015002P7";331003;1;5;0,2
"248";"12001015002P7";378707;1;2;0,5
"249";"12001015002P7";378711;1;1;1
"250";"12001015002P7";378728;1;1;1
"251";"12001015002P7";378739;1;3;0,333333333333333
"252";"12001015002P7";381811;1;1;1
"253";"12001015002P7";381824;1;1;1
"254";"12001015003P3";245976;1;1;1
"255";"12001015003P3";257380;1;2;0,5
"256";"12001015003P3";257410;2;3;0,666666666666667
"257";"12001015003P3";257419;1;2;0,5
"258";"12001015003P3";257706;1;1;1
"259";"12001015003P3";313777;1;1;1
"260";"12001015003P3";313810;1;2;0,5
"261";"12001015003P3";377976;1;1;1
"262";"12001015003P3";377999;1;1;1
"263";"12001015003P3";419618;1;2;0,5
"264";"12001015003P3";419622;1;1;1
"265";"12001015003P3";419631;1;1;1
"266";"12001015003P3";419633;1;1;1
"267";"12001015003P3";419635;1;2;0,5
"268";"12001015003P3";419637;1;1;1
"269";"12001015003P3";77952;2;2;1
"270";"12001015006P2";259435;2;2;1
"271";"12001015006P2";259451;2;3;0,666666666666667
"272";"12001015006P2";315798;1;1;1
"273";"12001015006P2";315914;1;1;1
"274";"12001015006P2";315931;2;4;0,5
"275";"12001015006P2";316421;1;1;1
"276";"12001015006P2";317984;1;1;1
"277";"12001015006P2";317987;1;1;1
"278";"12001015006P2";320756;1;2;0,5
"279";"12001015006P2";380141;3;3;1
"280";"12001015006P2";407477;1;1;1
"281";"12001015006P2";409554;1;2;0,5
"282";"12001015007P9";259824;2;2;1
"283";"12001015007P9";356006;2;3;0,666666666666667
"284";"12001015007P9";356015;6;8;0,75
"285";"12001015007P9";356017;5;3;1,66666666666667
"286";"12001015007P9";417583;7;9;0,777777777777778
"287";"12001015007P9";419747;2;2;1
"288";"12001015008P5";339197;1;1;1
"289";"12001015008P5";373620;2;3;0,666666666666667
"290";"12001015008P5";414283;1;1;1
"291";"12001015008P5";414692;1;1;1
"292";"12001015009P1";287153;2;3;0,666666666666667
"293";"12001015009P1";287157;3;4;0,75
"294";"12001015009P1";329829;5;6;0,833333333333333
"295";"12001015009P1";350715;3;3;1
"296";"12001015012P2";291264;1;1;1
"297";"12001015012P2";291337;2;2;1
"298";"12001015012P2";329439;1;1;1
"299";"12001015012P2";329463;3;2;1,5
"300";"12001015012P2";329512;1;1;1
"301";"12001015012P2";329553;1;1;1
"302";"12001015012P2";329588;1;1;1
"303";"12001015012P2";329617;1;2;0,5
"304";"12001015012P2";329628;2;2;1
"305";"12001015012P2";329656;1;2;0,5
"306";"12001015012P2";329685;1;1;1
"307";"12001015012P2";329694;2;2;1
"308";"12001015012P2";361132;1;1;1
"309";"12001015013P9";291756;2;2;1
"310";"12001015013P9";328673;2;1;2
"311";"12001015013P9";330145;2;2;1
"312";"12001015013P9";330149;1;2;0,5
"313";"12001015013P9";330170;1;2;0,5
"314";"12001015013P9";332434;1;1;1
"315";"12001015013P9";332442;1;1;1
"316";"12001015013P9";332451;1;1;1
"317";"12001015013P9";332471;1;1;1
"318";"12001015013P9";332472;1;1;1
"319";"12001015013P9";332477;1;1;1
"320";"12001015013P9";332626;1;1;1
"321";"12001015013P9";332678;1;1;1
"322";"12001015013P9";332809;1;1;1
"323";"12001015013P9";332872;1;1;1
"324";"12001015013P9";333319;1;1;1
"325";"12001015013P9";333320;1;1;1
"326";"12001015013P9";384354;3;2;1,5
"327";"12001015013P9";384370;1;1;1
"328";"12001015013P9";384386;3;2;1,5
"329";"12001015013P9";384412;1;1;1
"330";"12001015013P9";410970;2;1;2
"331";"12001015013P9";411021;1;1;1
"332";"12001015013P9";411632;4;3;1,33333333333333
"333";"12001015013P9";411944;1;1;1
"334";"12001015013P9";411998;1;1;1
"335";"12001015013P9";412010;1;1;1
"336";"12001015013P9";412449;1;1;1
"337";"12001015013P9";412495;1;1;1
"338";"12001015013P9";412818;1;1;1
"339";"12001015013P9";412851;1;1;1
"340";"12001015013P9";413243;6;5;1,2
"341";"12001015013P9";415597;1;1;1
"342";"12001015013P9";415703;1;1;1
"343";"12001015013P9";415705;1;1;1
"344";"12001015013P9";416017;1;2;0,5
"345";"12001015014P5";239162;2;2;1
"346";"12001015014P5";239163;5;4;1,25
"347";"12001015014P5";239166;2;2;1
"348";"12001015014P5";239168;2;2;1
"349";"12001015014P5";241250;1;1;1
"350";"12001015014P5";241255;1;1;1
"351";"12001015014P5";245553;3;1;3
"352";"12001015014P5";252507;3;2;1,5
"353";"12001015014P5";253192;2;2;1
"354";"12001015014P5";260208;1;1;1
"355";"12001015014P5";260238;1;1;1
"356";"12001015014P5";260602;1;1;1
"357";"12001015014P5";260630;2;1;2
"358";"12001015014P5";261077;2;2;1
"359";"12001015014P5";261094;3;1;3
"360";"12001015014P5";261102;2;1;2
"361";"12001015014P5";261110;1;1;1
"362";"12001015014P5";261114;1;1;1
"363";"12001015014P5";261118;3;2;1,5
"364";"12001015014P5";261127;1;2;0,5
"365";"12001015014P5";261132;1;1;1
"366";"12001015014P5";261425;1;1;1
"367";"12001015014P5";261442;2;1;2
"368";"12001015014P5";261445;1;1;1
"369";"12001015014P5";261460;1;1;1
"370";"12001015014P5";261462;1;1;1
"371";"12001015014P5";261632;4;3;1,33333333333333
"372";"12001015014P5";261648;1;1;1
"373";"12001015014P5";261652;1;1;1
"374";"12001015014P5";261657;1;1;1
"375";"12001015014P5";261661;2;1;2
"376";"12001015014P5";261663;5;3;1,66666666666667
"377";"12001015014P5";261665;1;1;1
"378";"12001015014P5";261674;1;1;1
"379";"12001015014P5";261677;1;2;0,5
"380";"12001015014P5";261679;3;1;3
"381";"12001015014P5";262433;1;1;1
"382";"12001015014P5";262438;1;1;1
"383";"12001015014P5";262444;3;2;1,5
"384";"12001015014P5";262447;1;1;1
"385";"12001015014P5";262454;1;1;1
"386";"12001015014P5";262458;1;1;1
"387";"12001015014P5";262461;1;1;1
"388";"12001015014P5";262467;4;2;2
"389";"12001015014P5";262473;3;1;3
"390";"12001015014P5";262515;1;1;1
"391";"12001015014P5";263047;2;2;1
"392";"12001015014P5";266344;1;1;1
"393";"12001015014P5";266479;2;2;1
"394";"12001015014P5";285086;4;2;2
"395";"12001015014P5";285116;3;1;3
"396";"12001015014P5";285131;4;2;2
"397";"12001015014P5";285133;2;2;1
"398";"12001015014P5";285968;2;2;1
"399";"12001015014P5";285974;1;1;1
"400";"12001015014P5";285976;1;1;1
"401";"12001015014P5";286010;1;1;1
"402";"12001015014P5";286012;2;1;2
"403";"12001015014P5";299074;2;2;1
"404";"12001015014P5";340148;2;2;1
"405";"12001015014P5";340149;1;1;1
"406";"12001015014P5";340254;1;1;1
"407";"12001015014P5";340255;1;1;1
"408";"12001015014P5";340259;2;2;1
"409";"12001015014P5";340261;1;1;1
"410";"12001015014P5";340262;2;1;2
"411";"12001015014P5";340265;1;1;1
"412";"12001015014P5";340270;2;2;1
"413";"12001015014P5";340271;4;2;2
"414";"12001015014P5";340272;5;2;2,5
"415";"12001015014P5";340278;1;1;1
"416";"12001015014P5";340279;1;1;1
"417";"12001015014P5";340280;3;1;3
"418";"12001015014P5";340282;1;1;1
"419";"12001015014P5";340283;1;1;1
"420";"12001015014P5";340284;1;1;1
"421";"12001015014P5";340287;1;1;1
"422";"12001015014P5";340294;1;1;1
"423";"12001015014P5";340299;1;1;1
"424";"12001015014P5";340300;3;1;3
"425";"12001015014P5";340301;3;2;1,5
"426";"12001015014P5";340302;1;1;1
"427";"12001015014P5";340303;1;1;1
"428";"12001015014P5";340304;1;1;1
"429";"12001015014P5";340309;1;1;1
"430";"12001015014P5";340323;2;1;2
"431";"12001015014P5";340324;2;2;1
"432";"12001015014P5";340325;2;2;1
"433";"12001015014P5";340326;2;2;1
"434";"12001015014P5";340327;2;1;2
"435";"12001015014P5";340328;2;2;1
"436";"12001015014P5";340337;3;2;1,5
"437";"12001015014P5";340338;2;2;1
"438";"12001015014P5";340339;1;1;1
"439";"12001015014P5";340340;2;1;2
"440";"12001015014P5";340341;4;2;2
"441";"12001015014P5";340342;1;2;0,5
"442";"12001015014P5";340343;2;2;1
"443";"12001015014P5";340344;2;1;2
"444";"12001015014P5";340345;1;1;1
"445";"12001015014P5";340346;2;2;1
"446";"12001015014P5";340347;1;1;1
"447";"12001015014P5";340348;1;1;1
"448";"12001015014P5";340349;1;1;1
"449";"12001015014P5";340350;1;1;1
"450";"12001015014P5";340351;2;2;1
"451";"12001015014P5";340352;1;1;1
"452";"12001015014P5";340360;2;1;2
"453";"12001015014P5";340370;2;1;2
"454";"12001015014P5";340371;1;1;1
"455";"12001015014P5";340372;3;1;3
"456";"12001015014P5";340373;3;2;1,5
"457";"12001015014P5";340374;1;1;1
"458";"12001015014P5";340382;2;2;1
"459";"12001015014P5";340383;1;1;1
"460";"12001015014P5";340385;1;1;1
"461";"12001015014P5";340387;1;1;1
"462";"12001015014P5";340388;3;2;1,5
"463";"12001015014P5";340389;2;1;2
"464";"12001015014P5";340391;1;1;1
"465";"12001015014P5";340410;1;1;1
"466";"12001015014P5";340411;2;1;2
"467";"12001015014P5";340412;2;2;1
"468";"12001015014P5";340413;1;1;1
"469";"12001015014P5";340415;1;1;1
"470";"12001015014P5";351192;2;2;1
"471";"12001015014P5";360467;1;1;1
"472";"12001015014P5";360468;3;2;1,5
"473";"12001015014P5";360486;4;2;2
"474";"12001015014P5";360502;3;2;1,5
"475";"12001015014P5";361184;1;1;1
"476";"12001015014P5";363799;1;2;0,5
"477";"12001015014P5";363814;1;1;1
"478";"12001015014P5";363821;1;1;1
"479";"12001015014P5";363835;1;1;1
"480";"12001015014P5";363842;3;2;1,5
"481";"12001015014P5";364299;3;2;1,5
"482";"12001015014P5";364302;2;2;1
"483";"12001015014P5";364304;2;2;1
"484";"12001015014P5";364310;3;2;1,5
"485";"12001015014P5";364320;1;1;1
"486";"12001015014P5";364338;1;1;1
"487";"12001015014P5";364343;3;2;1,5
"488";"12001015014P5";364372;2;2;1
"489";"12001015014P5";364830;4;2;2
"490";"12001015014P5";364840;1;1;1
"491";"12001015014P5";366777;2;2;1
"492";"12001015014P5";377315;1;1;1
"493";"12001015014P5";378596;1;1;1
"494";"12001015014P5";378601;2;2;1
"495";"12001015014P5";378629;1;1;1
"496";"12001015014P5";381668;1;2;0,5
"497";"12001015014P5";381671;1;1;1
"498";"12001015014P5";381688;2;1;2
"499";"12001015014P5";381692;2;2;1
"500";"12001015014P5";381709;3;2;1,5
"501";"12001015014P5";381716;2;2;1
"502";"12001015014P5";381718;3;2;1,5
"503";"12001015014P5";381722;3;2;1,5
"504";"12001015014P5";381723;1;1;1
"505";"12001015014P5";381743;3;2;1,5
"506";"12001015014P5";381744;2;1;2
"507";"12001015014P5";381758;1;1;1
"508";"12001015014P5";381762;2;1;2
"509";"12001015014P5";381764;1;2;0,5
"510";"12001015014P5";381776;1;1;1
"511";"12001015014P5";384181;1;1;1
"512";"12001015015P1";366776;2;2;1
"513";"12001015015P1";366807;2;5;0,4
"514";"12001015015P1";366861;1;1;1
"515";"12001015015P1";368517;1;1;1
"516";"12001015015P1";368518;1;1;1
"517";"12001015015P1";369175;1;1;1
"518";"12001015015P1";369346;1;1;1
"519";"12001015015P1";369554;1;1;1
"520";"12001015015P1";371472;1;1;1
"521";"12001015015P1";371473;1;1;1
"522";"12001015015P1";398279;1;1;1
"523";"12001015015P1";403887;1;1;1
"524";"12001015015P1";405913;1;1;1
"525";"12001015015P1";406365;2;2;1
"526";"12001015016P8";246262;1;2;0,5
"527";"12001015016P8";246782;2;3;0,666666666666667
"528";"12001015016P8";250238;2;3;0,666666666666667
"529";"12001015016P8";363355;2;2;1
"530";"12001015018P0";316540;1;1;1
"531";"12001015021P1";296612;1;3;0,333333333333333
"532";"12001015021P1";299716;1;1;1
"533";"12001015021P1";331471;1;3;0,333333333333333
"534";"12001015021P1";333191;1;2;0,5
"535";"12001015021P1";333194;1;1;1
"536";"12001015021P1";362912;1;3;0,333333333333333
"537";"12001015021P1";395827;1;1;1
"538";"12001015021P1";395841;1;1;1
"539";"12001015021P1";400503;1;3;0,333333333333333
"540";"12001015022P8";254071;2;3;0,666666666666667
"541";"12001015023P4";264369;1;1;1
"542";"12001015023P4";264379;1;1;1
"543";"12001015023P4";264392;1;1;1
"544";"12001015023P4";264400;1;1;1
"545";"12001015023P4";328739;2;1;2
"546";"12001015023P4";345619;4;5;0,8
"547";"12001015024P0";298518;1;1;1
"548";"12001015024P0";299066;1;1;1
"549";"12001015024P0";337815;2;2;1
"550";"12001015024P0";377050;1;1;1
"551";"12001015024P0";377076;2;2;1
"552";"12001015024P0";377454;1;1;1
"553";"12001015024P0";377462;2;3;0,666666666666667
"554";"12001015024P0";377485;1;1;1
"555";"12001015024P0";377616;2;1;2
"556";"12001015024P0";377739;2;1;2
"557";"12001015024P0";382971;1;1;1
"558";"12001015024P0";382982;1;1;1
"559";"12001015024P0";382983;1;1;1
"560";"12001015024P0";382985;1;1;1
"561";"12001015024P0";382986;1;1;1
"562";"12001015024P0";382987;1;1;1
"563";"12001015024P0";383018;1;1;1
"564";"12001015024P0";383028;1;1;1
"565";"12001015024P0";383030;1;1;1
"566";"12001015024P0";383033;1;1;1
"567";"12001015024P0";383035;1;1;1
"568";"12001015024P0";383039;1;1;1
"569";"12001015024P0";383042;1;1;1
"570";"12001015024P0";383234;1;1;1
"571";"12001015024P0";383258;1;1;1
"572";"12001015024P0";399297;1;1;1
"573";"12001015025P7";260295;1;1;1
"574";"12001015025P7";264175;1;1;1
"575";"12001015025P7";266370;1;1;1
"576";"12001015025P7";268368;1;1;1
"577";"12001015025P7";313783;1;1;1
"578";"12001015025P7";313815;1;3;0,333333333333333
"579";"12001015025P7";313845;2;4;0,5
"580";"12001015025P7";313899;1;3;0,333333333333333
"581";"12001015025P7";315106;1;1;1
"582";"12001015025P7";320653;2;2;1
"583";"12001015025P7";320671;2;2;1
"584";"12001015025P7";359919;1;1;1
"585";"12001015025P7";359926;1;1;1
"586";"12001015025P7";359937;2;4;0,5
"587";"12001015025P7";359939;1;1;1
"588";"12001015025P7";360009;1;1;1
"589";"12001015025P7";399707;1;1;1
"590";"12001015026P3";262836;1;1;1
"591";"12001015026P3";280262;1;1;1
"592";"12001015026P3";316662;1;1;1
"593";"12001015026P3";316672;1;1;1
"594";"12001015026P3";316681;1;1;1
"595";"12001015026P3";317403;1;1;1
"596";"12001015026P3";317404;1;1;1
"597";"12001015026P3";378170;1;1;1
"598";"12001015026P3";378203;1;1;1
"599";"12001015026P3";396788;1;1;1
"600";"12001015026P3";396789;1;1;1
"601";"12001015026P3";396792;1;1;1
"602";"12001015026P3";396793;1;1;1
"603";"12001015026P3";397531;1;1;1
"604";"12001015026P3";397686;1;1;1
"605";"12001015026P3";397687;1;1;1
"606";"12001015026P3";397696;1;1;1
"607";"12001015026P3";402513;1;1;1
"608";"12001015026P3";78673;1;1;1
"609";"12001015027P0";285068;1;1;1
"610";"12001015027P0";318898;1;1;1
"611";"12001015027P0";320240;1;2;0,5
"612";"12001015027P0";320348;1;2;0,5
"613";"12001015027P0";350285;1;1;1
"614";"12001015027P0";350291;1;2;0,5
"615";"12001015027P0";350310;1;2;0,5
"616";"12001015027P0";351548;1;2;0,5
"617";"12001015027P0";373815;1;1;1
"618";"12001015027P0";374097;1;1;1
"619";"12001015027P0";374118;1;2;0,5
"620";"12001015027P0";374172;1;2;0,5
"621";"12001015027P0";374614;1;2;0,5
"622";"12001015027P0";375191;1;1;1
"623";"12001015027P0";376369;1;1;1
"624";"12001015027P0";390408;1;2;0,5
"625";"12001015027P0";390969;1;1;1
"626";"12001015027P0";390970;1;1;1
"627";"12001015027P0";390973;1;2;0,5
"628";"12001015027P0";390981;1;1;1
"629";"12001015027P0";398987;1;1;1
"630";"12001015027P0";407432;1;1;1
"631";"12001015027P0";414038;1;1;1
"632";"12001015027P0";414046;1;1;1
"633";"12001015029P2";273308;6;5;1,2
"634";"12001015029P2";276067;1;1;1
"635";"12001015029P2";286571;2;2;1
"636";"12001015029P2";286719;1;1;1
"637";"12001015029P2";358671;2;2;1
"638";"12001015029P2";421979;1;1;1
"639";"12001015029P2";421992;1;1;1
"640";"12001015032P3";327687;1;1;1
"641";"12001015032P3";329511;2;2;1
"642";"12001015032P3";374315;1;1;1
"643";"12001015032P3";384245;2;2;1
"644";"12001015032P3";384282;3;3;1
"645";"12001015032P3";409629;1;1;1
"646";"12001015032P3";409636;1;1;1
"647";"12001015032P3";409650;1;1;1
"648";"12001015032P3";411395;1;1;1
"649";"12001015032P3";411558;1;1;1
"650";"12001015032P3";413878;1;1;1
"651";"12001015032P3";413922;1;1;1
"652";"12001015032P3";413928;1;1;1
"653";"12001015032P3";413932;1;1;1
"654";"12001015032P3";413935;1;1;1
"655";"12001015032P3";413961;1;1;1
"656";"12001015032P3";413964;1;1;1
"657";"12001015032P3";413988;1;1;1
"658";"12001015032P3";414053;1;1;1
"659";"12001015032P3";414103;1;1;1
"660";"12001015033P0";299546;1;1;1
"661";"12001015033P0";299557;1;3;0,333333333333333
"662";"12001015033P0";299579;3;3;1
"663";"12001015033P0";299909;3;3;1
"664";"12001015033P0";299910;3;2;1,5
"665";"12001015034P6";278695;1;1;1
"666";"12001015034P6";334802;1;1;1
"667";"12001015034P6";334808;2;2;1
"668";"12001015034P6";334829;1;3;0,333333333333333
"669";"12001015034P6";334835;2;2;1
"670";"12001015034P6";334843;1;1;1
"671";"12001015034P6";335588;1;3;0,333333333333333
"672";"12001015034P6";423911;1;1;1
"673";"12001015034P6";423941;1;1;1
